data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-04-29,Pfizer/BioNTech,FVG,20-29,76,114,132,58,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-29,Pfizer/BioNTech,FVG,30-39,96,125,139,82,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-29,Pfizer/BioNTech,FVG,40-49,157,223,252,128,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-29,Pfizer/BioNTech,FVG,50-59,330,394,469,255,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-29,Pfizer/BioNTech,FVG,60-69,375,350,392,333,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-29,Pfizer/BioNTech,FVG,70-79,412,404,279,537,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-29,Pfizer/BioNTech,FVG,80-89,441,734,306,869,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-29,Pfizer/BioNTech,FVG,90+,72,213,117,168,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-29,Pfizer/BioNTech,LAZ,16-19,31,26,39,18,ITI,ITI4,12,Lazio
2021-04-29,Pfizer/BioNTech,LAZ,20-29,196,215,235,176,ITI,ITI4,12,Lazio
2021-04-29,Pfizer/BioNTech,LAZ,30-39,270,306,300,276,ITI,ITI4,12,Lazio
2021-04-29,Pfizer/BioNTech,LAZ,40-49,479,581,585,475,ITI,ITI4,12,Lazio
2021-04-29,Pfizer/BioNTech,LAZ,50-59,987,1139,1268,858,ITI,ITI4,12,Lazio
2021-04-29,Pfizer/BioNTech,LAZ,60-69,3282,3962,5580,1664,ITI,ITI4,12,Lazio
2021-04-29,Pfizer/BioNTech,LAZ,70-79,4723,5609,5276,5056,ITI,ITI4,12,Lazio
2021-04-29,Pfizer/BioNTech,LAZ,80-89,1794,2779,1749,2824,ITI,ITI4,12,Lazio
2021-04-29,Pfizer/BioNTech,LAZ,90+,362,997,556,803,ITI,ITI4,12,Lazio
2021-04-29,Pfizer/BioNTech,LIG,16-19,7,21,12,16,ITC,ITC3,7,Liguria
2021-04-29,Pfizer/BioNTech,LIG,20-29,138,150,54,234,ITC,ITC3,7,Liguria
2021-04-29,Pfizer/BioNTech,LIG,30-39,186,215,84,317,ITC,ITC3,7,Liguria
2021-04-29,Pfizer/BioNTech,LIG,40-49,185,331,108,408,ITC,ITC3,7,Liguria
2021-04-29,Pfizer/BioNTech,LIG,50-59,432,580,204,808,ITC,ITC3,7,Liguria
2021-04-29,Pfizer/BioNTech,LIG,60-69,656,737,338,1055,ITC,ITC3,7,Liguria
2021-04-29,Pfizer/BioNTech,LIG,70-79,1544,1723,854,2413,ITC,ITC3,7,Liguria
2021-04-29,Pfizer/BioNTech,LIG,80-89,949,1336,218,2067,ITC,ITC3,7,Liguria
2021-04-29,Pfizer/BioNTech,LIG,90+,102,266,31,337,ITC,ITC3,7,Liguria
2021-04-29,Pfizer/BioNTech,LOM,16-19,200,216,386,30,ITC,ITC4,3,Lombardia
2021-04-29,Pfizer/BioNTech,LOM,20-29,1008,1103,1860,251,ITC,ITC4,3,Lombardia
2021-04-29,Pfizer/BioNTech,LOM,30-39,1007,1202,1802,407,ITC,ITC4,3,Lombardia
2021-04-29,Pfizer/BioNTech,LOM,40-49,1626,1933,2865,694,ITC,ITC4,3,Lombardia
2021-04-29,Pfizer/BioNTech,LOM,50-59,4644,4806,8397,1053,ITC,ITC4,3,Lombardia
2021-04-29,Pfizer/BioNTech,LOM,60-69,11676,11701,22351,1026,ITC,ITC4,3,Lombardia
2021-04-29,Pfizer/BioNTech,LOM,70-79,9196,10112,18347,961,ITC,ITC4,3,Lombardia
2021-04-29,Pfizer/BioNTech,LOM,80-89,8610,12250,1110,19750,ITC,ITC4,3,Lombardia
2021-04-29,Pfizer/BioNTech,LOM,90+,524,1359,302,1581,ITC,ITC4,3,Lombardia
2021-04-29,Pfizer/BioNTech,MAR,16-19,26,20,24,22,ITI,ITI3,11,Marche
2021-04-29,Pfizer/BioNTech,MAR,20-29,160,176,175,161,ITI,ITI3,11,Marche
2021-04-29,Pfizer/BioNTech,MAR,30-39,188,279,191,276,ITI,ITI3,11,Marche
2021-04-29,Pfizer/BioNTech,MAR,40-49,356,515,379,492,ITI,ITI3,11,Marche
2021-04-29,Pfizer/BioNTech,MAR,50-59,619,772,572,819,ITI,ITI3,11,Marche
2021-04-29,Pfizer/BioNTech,MAR,60-69,1092,1066,1057,1101,ITI,ITI3,11,Marche
2021-04-29,Pfizer/BioNTech,MAR,70-79,1517,1466,1732,1251,ITI,ITI3,11,Marche
2021-04-29,Pfizer/BioNTech,MAR,80-89,381,529,112,798,ITI,ITI3,11,Marche
2021-04-29,Pfizer/BioNTech,MAR,90+,75,220,37,258,ITI,ITI3,11,Marche
2021-04-29,Pfizer/BioNTech,MOL,16-19,5,1,0,6,ITF,ITF2,14,Molise
2021-04-29,Pfizer/BioNTech,MOL,20-29,9,25,1,33,ITF,ITF2,14,Molise
2021-04-29,Pfizer/BioNTech,MOL,30-39,29,34,4,59,ITF,ITF2,14,Molise
2021-04-29,Pfizer/BioNTech,MOL,40-49,73,69,9,133,ITF,ITF2,14,Molise
2021-04-29,Pfizer/BioNTech,MOL,50-59,188,106,17,277,ITF,ITF2,14,Molise
2021-04-29,Pfizer/BioNTech,MOL,60-69,283,202,54,431,ITF,ITF2,14,Molise
2021-04-29,Pfizer/BioNTech,MOL,70-79,163,180,185,158,ITF,ITF2,14,Molise
2021-04-29,Pfizer/BioNTech,MOL,80-89,58,92,40,110,ITF,ITF2,14,Molise
2021-04-29,Pfizer/BioNTech,MOL,90+,15,55,29,41,ITF,ITF2,14,Molise
2021-04-29,Pfizer/BioNTech,PAB,16-19,16,9,20,5,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-04-29,Pfizer/BioNTech,PAB,20-29,76,67,101,42,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-04-29,Pfizer/BioNTech,PAB,30-39,99,80,145,34,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-04-29,Pfizer/BioNTech,PAB,40-49,162,109,220,51,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-04-29,Pfizer/BioNTech,PAB,50-59,205,173,294,84,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-04-29,Pfizer/BioNTech,PAB,60-69,295,291,517,69,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-04-29,Pfizer/BioNTech,PAB,70-79,283,309,235,357,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-04-29,Pfizer/BioNTech,PAB,80-89,43,72,82,33,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-04-29,Pfizer/BioNTech,PAB,90+,9,32,32,9,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-04-29,Pfizer/BioNTech,PAT,16-19,6,1,7,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-04-29,Pfizer/BioNTech,PAT,20-29,22,32,48,6,ITH,ITH2,4,Provincia Autonoma Trento
2021-04-29,Pfizer/BioNTech,PAT,30-39,19,37,53,3,ITH,ITH2,4,Provincia Autonoma Trento
2021-04-29,Pfizer/BioNTech,PAT,40-49,34,63,93,4,ITH,ITH2,4,Provincia Autonoma Trento
2021-04-29,Pfizer/BioNTech,PAT,50-59,75,104,171,8,ITH,ITH2,4,Provincia Autonoma Trento
2021-04-29,Pfizer/BioNTech,PAT,60-69,1038,1087,2116,9,ITH,ITH2,4,Provincia Autonoma Trento
2021-04-29,Pfizer/BioNTech,PAT,70-79,589,624,1200,13,ITH,ITH2,4,Provincia Autonoma Trento
2021-04-29,Pfizer/BioNTech,PAT,80-89,38,40,52,26,ITH,ITH2,4,Provincia Autonoma Trento
