data_somministrazione,area,totale,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,pregressa_infezione,dose_aggiuntiva,dose_booster,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-05-17,VEN,26554,13004,13550,15647,10000,907,0,0,ITH,ITH3,5,Veneto
2021-05-24,FVG,11508,5569,5939,7534,3610,364,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-06-04,BAS,4833,2289,2544,3746,1044,43,0,0,ITF,ITF5,17,Basilicata
2021-11-02,PUG,10925,5626,5299,1415,4165,171,272,4902,ITF,ITF4,16,Puglia
2021-11-03,ABR,4924,2584,2340,453,1828,65,455,2123,ITF,ITF1,13,Abruzzo
2021-02-22,ABR,2642,1174,1468,2577,29,36,0,0,ITF,ITF1,13,Abruzzo
2021-03-26,LIG,9364,4043,5321,6083,3135,146,0,0,ITC,ITC3,7,Liguria
2021-03-28,LOM,20650,7886,12764,13857,6238,555,0,0,ITC,ITC4,3,Lombardia
2021-04-11,SIC,15382,7598,7784,8243,7016,123,0,0,ITG,ITG1,19,Sicilia
2021-05-22,TOS,26041,12669,13372,21536,4252,253,0,0,ITI,ITI1,9,Toscana
2021-06-02,UMB,3926,1886,2040,3799,42,85,0,0,ITI,ITI2,10,Umbria
2021-08-23,MOL,1729,936,793,272,1444,13,0,0,ITF,ITF2,14,Molise
2021-02-06,VEN,4099,1354,2745,753,3321,25,0,0,ITH,ITH3,5,Veneto
2021-02-13,FVG,570,180,390,547,6,17,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-02-18,LAZ,10181,5071,5110,9061,908,212,0,0,ITI,ITI4,12,Lazio
2021-04-14,LOM,47256,21055,26201,33538,12777,941,0,0,ITC,ITC4,3,Lombardia
2021-08-17,EMR,22437,12336,10101,14491,6852,1094,0,0,ITH,ITH5,8,Emilia-Romagna
2021-09-12,BAS,1754,929,825,303,1423,28,0,0,ITF,ITF5,17,Basilicata
2021-10-23,PIE,14441,6951,7490,2076,5430,282,216,6437,ITC,ITC1,1,Piemonte
2021-10-25,SIC,9039,4920,4119,1928,4350,177,604,1980,ITG,ITG1,19,Sicilia
2021-02-20,CAL,1541,799,742,1200,327,14,0,0,ITF,ITF6,18,Calabria
2021-02-21,PUG,2176,474,1702,2017,60,99,0,0,ITF,ITF4,16,Puglia
2021-04-28,CAM,36413,17630,18783,25827,9688,898,0,0,ITF,ITF3,15,Campania
2021-05-26,LAZ,47791,21990,25801,34802,12151,838,0,0,ITI,ITI4,12,Lazio
2021-07-04,LIG,4882,2594,2288,3788,1004,90,0,0,ITC,ITC3,7,Liguria
2021-07-13,PAT,3866,1970,1896,1780,1932,154,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-07-16,PAB,4530,2460,2070,1057,3288,185,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-07-20,SIC,48533,23643,24890,12755,35345,433,0,0,ITG,ITG1,19,Sicilia
2021-09-10,UMB,4597,2508,2089,736,3811,50,0,0,ITI,ITI2,10,Umbria
2021-10-17,ABR,1019,510,509,158,289,15,8,549,ITF,ITF1,13,Abruzzo
2021-01-02,LIG,694,247,447,687,0,7,0,0,ITC,ITC3,7,Liguria
2021-01-04,LOM,6142,2121,4021,5937,0,205,0,0,ITC,ITC4,3,Lombardia
2021-01-30,FVG,2291,747,1544,295,1994,2,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-03-04,LAZ,19541,8781,10760,14185,4911,445,0,0,ITI,ITI4,12,Lazio
2021-04-21,PAT,2947,1373,1574,2728,51,168,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-05-05,TOS,30171,13466,16705,14933,14490,748,0,0,ITI,ITI1,9,Toscana
2021-07-15,PIE,42470,21942,20528,4134,37843,493,0,0,ITC,ITC1,1,Piemonte
2021-01-18,CAM,959,399,560,683,244,32,0,0,ITF,ITF3,15,Campania
2021-06-01,PUG,35104,17583,17521,21672,12989,443,0,0,ITF,ITF4,16,Puglia
2021-08-03,SIC,32103,15754,16349,13841,17766,496,0,0,ITG,ITG1,19,Sicilia
2021-08-15,FVG,1,1,0,0,1,0,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-09-03,EMR,23825,12830,10995,6343,16852,630,0,0,ITH,ITH5,8,Emilia-Romagna
2021-09-24,UMB,2693,1401,1292,958,1418,45,261,11,ITI,ITI2,10,Umbria
2021-11-13,LAZ,19227,8888,10339,2365,2832,163,454,13413,ITI,ITI4,12,Lazio
2021-02-24,BAS,1818,744,1074,1730,72,16,0,0,ITF,ITF5,17,Basilicata
2021-05-15,PUG,43777,19066,24711,22799,20072,906,0,0,ITF,ITF4,16,Puglia
2021-06-12,LAZ,70007,32152,37855,40162,29148,697,0,0,ITI,ITI4,12,Lazio
2021-08-13,TOS,23204,12586,10618,11382,11223,599,0,0,ITI,ITI1,9,Toscana
2021-08-25,VEN,20186,10957,9229,8102,11488,596,0,0,ITH,ITH3,5,Veneto
2021-10-07,PAB,2466,1289,1177,1138,934,1,343,50,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-05-26,EMR,33352,14759,18593,10107,22815,430,0,0,ITH,ITH5,8,Emilia-Romagna
2021-08-27,SAR,8383,4494,3889,4903,3330,150,0,0,ITG,ITG2,20,Sardegna
2021-11-11,SIC,12937,6786,6151,1991,3989,150,2085,4722,ITG,ITG1,19,Sicilia
2021-04-24,PAB,5127,2462,2665,4279,461,387,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-04-26,LIG,10601,5001,5600,7799,2623,179,0,0,ITC,ITC3,7,Liguria
2021-07-03,UMB,6488,3252,3236,2826,3499,163,0,0,ITI,ITI2,10,Umbria
2021-10-11,SIC,15769,8660,7109,5880,8215,352,383,939,ITG,ITG1,19,Sicilia
2021-11-06,PIE,13755,6625,7130,1385,3919,178,1170,7103,ITC,ITC1,1,Piemonte
2021-02-05,VDA,297,103,194,107,186,4,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-02-07,PUG,1589,671,918,312,1272,5,0,0,ITF,ITF4,16,Puglia
2021-05-12,LAZ,47722,21663,26059,29977,16676,1069,0,0,ITI,ITI4,12,Lazio
2021-05-19,SAR,17086,8685,8401,12634,4268,184,0,0,ITG,ITG2,20,Sardegna
2021-06-17,VEN,51819,25958,25861,25639,24856,1324,0,0,ITH,ITH3,5,Veneto
2021-06-29,PAT,6468,3265,3203,2722,3530,216,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-07-22,EMR,40410,21565,18845,15123,24201,1086,0,0,ITH,ITH5,8,Emilia-Romagna
2021-10-08,BAS,998,563,435,330,516,70,18,64,ITF,ITF5,17,Basilicata
2021-10-23,SAR,2258,1138,1120,314,965,16,73,890,ITG,ITG2,20,Sardegna
2021-11-11,LOM,35223,15841,19382,2548,5522,217,1870,25066,ITC,ITC4,3,Lombardia
2021-01-06,EMR,8306,2960,5346,8132,0,174,0,0,ITH,ITH5,8,Emilia-Romagna
2021-02-28,LIG,1060,581,479,1042,10,8,0,0,ITC,ITC3,7,Liguria
2021-04-26,TOS,10149,4936,5213,7469,2541,139,0,0,ITI,ITI1,9,Toscana
2021-05-07,UMB,10140,4719,5421,6619,3180,341,0,0,ITI,ITI2,10,Umbria
2021-06-20,PAB,5261,2859,2402,641,4564,56,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-06-27,PUG,18602,9239,9363,9942,8356,304,0,0,ITF,ITF4,16,Puglia
2021-09-29,FVG,5656,3225,2431,2858,2296,118,368,16,ITH,ITH4,6,Friuli-Venezia Giulia
2021-09-29,LAZ,14276,7453,6823,6652,6270,507,536,311,ITI,ITI4,12,Lazio
2021-01-18,FVG,1969,609,1360,1853,94,22,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-03-03,ABR,4646,1903,2743,3727,889,30,0,0,ITF,ITF1,13,Abruzzo
2021-04-03,VDA,676,341,335,638,15,23,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-07-15,SAR,18777,9236,9541,4621,14024,132,0,0,ITG,ITG2,20,Sardegna
2021-09-27,PIE,19227,10315,8912,6621,10316,523,1757,10,ITC,ITC1,1,Piemonte
2021-03-10,MAR,5713,2443,3270,4483,1158,72,0,0,ITI,ITI3,11,Marche
2021-04-04,VEN,7790,3535,4255,6495,1143,152,0,0,ITH,ITH3,5,Veneto
2021-05-24,CAM,31364,15158,16206,16000,15000,364,0,0,ITF,ITF3,15,Campania
2021-07-17,BAS,5860,2918,2942,1700,4110,50,0,0,ITF,ITF5,17,Basilicata
2021-08-08,EMR,21654,11736,9918,10543,10477,634,0,0,ITH,ITH5,8,Emilia-Romagna
2021-08-20,LOM,27141,15019,12122,14157,11877,1107,0,0,ITC,ITC4,3,Lombardia
2021-08-29,SIC,14527,7928,6599,4753,9624,150,0,0,ITG,ITG1,19,Sicilia
2021-01-04,FVG,1528,570,958,1506,0,22,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-02-13,UMB,116,29,87,113,3,0,0,0,ITI,ITI2,10,Umbria
2021-03-20,VDA,209,87,122,166,36,7,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-03-30,LAZ,27234,13263,13971,19524,7180,530,0,0,ITI,ITI4,12,Lazio
2021-04-09,TOS,24616,10590,14026,20711,3432,473,0,0,ITI,ITI1,9,Toscana
